profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.8,6-31g,0.8,0.001,10,0.35,1.0,0.38375000000000004,0.635,1.0,0.365,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,10,0.45,1.0,0.48875,0.936875,1.0,0.06312499999999999,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,10,0.55,1.0,0.591875,0.996875,1.0,0.0031250000000000444,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,20,0.15,0.941875,0.180625,0.003125,0.939375,0.7587499999999999,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,20,0.25,0.99875,0.28687500000000005,0.13999999999999999,0.9962500000000001,0.7093750000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,20,0.35,1.0,0.38375000000000004,0.5874999999999999,1.0,0.4125000000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,20,0.45,1.0,0.48875,0.811875,1.0,0.188125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,20,0.55,1.0,0.591875,0.855,1.0,0.14500000000000002,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,40,0.15,0.941875,0.180625,0.005,0.951875,0.76125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,40,0.25,0.99875,0.28687500000000005,0.14500000000000002,0.9962500000000001,0.7093750000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,40,0.35,1.0,0.38375000000000004,0.593125,1.0,0.406875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,40,0.45,1.0,0.48875,0.8225,1.0,0.1775,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,40,0.55,1.0,0.591875,0.855,1.0,0.14500000000000002,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,10,0.15,0.811875,0.180625,0.02875,0.815625,0.63125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,10,0.25,0.94875,0.28687500000000005,0.22875,0.954375,0.661875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,10,0.35,0.981875,0.38375000000000004,0.579375,0.98375,0.4025000000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,10,0.45,0.993125,0.48875,0.8356250000000001,0.993125,0.15749999999999997,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,10,0.55,0.99875,0.591875,0.955,0.99875,0.04375000000000007,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,20,0.15,0.811875,0.180625,0.03125,0.8206249999999999,0.63125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,20,0.25,0.94875,0.28687500000000005,0.21375,0.959375,0.661875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,20,0.35,0.981875,0.38375000000000004,0.5231250000000001,0.985,0.45875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,20,0.45,0.993125,0.48875,0.74625,0.995625,0.24687500000000007,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,20,0.55,0.99875,0.591875,0.8325,0.999375,0.16625,True,0.1093895984264179
