basis,mode,a_angstrom,b_angstrom,energy_hartree
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.6999999999999997,-1.0360911304857283
sto-3g,without_edge_01,0.9999999999999999,1.6999999999999997,-1.4750042593016217
sto-3g,full,0.9999999999999999,1.7999999999999998,-1.7289064194650217
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.7999999999999998,-1.045599253321491
sto-3g,without_edge_01,0.9999999999999999,1.7999999999999998,-1.4654100710346074
sto-3g,full,0.9999999999999999,1.8999999999999997,-1.725817290488727
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.8999999999999997,-1.0523257800429446
sto-3g,without_edge_01,0.9999999999999999,1.8999999999999997,-1.4573074287556236
sto-3g,full,0.9999999999999999,1.9999999999999996,-1.7221539204312726
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.9999999999999996,-1.0570363804312017
sto-3g,without_edge_01,0.9999999999999999,1.9999999999999996,-1.4505539466282937
sto-3g,full,0.9999999999999999,2.0999999999999996,-1.718255262528364
sto-3g,one_electron_cross_deleted,0.9999999999999999,2.0999999999999996,-1.0602986997255304
sto-3g,without_edge_01,0.9999999999999999,2.0999999999999996,-1.4450012170176936
sto-3g,full,0.9999999999999999,2.1999999999999997,-1.7143519244452587
sto-3g,one_electron_cross_deleted,0.9999999999999999,2.1999999999999997,-1.062530961941397
sto-3g,without_edge_01,0.9999999999999999,2.1999999999999997,-1.4404971773451747
sto-3g,full,0.9999999999999999,2.3,-1.7105942914434689
sto-3g,one_electron_cross_deleted,0.9999999999999999,2.3,-1.06410343272074
sto-3g,without_edge_01,0.9999999999999999,2.3,-1.4368894390204279
sto-3g,full,0.9999999999999999,2.3999999999999995,-1.7070744845506929
sto-3g,one_electron_cross_deleted,0.9999999999999999,2.3999999999999995,-1.0655471816921205
sto-3g,without_edge_01,0.9999999999999999,2.3999999999999995,-1.4340304987583052
sto-3g,full,0.9999999999999999,2.4999999999999996,-1.7038433585787023
sto-3g,one_electron_cross_deleted,0.9999999999999999,2.4999999999999996,-1.0665345715119714
sto-3g,without_edge_01,0.9999999999999999,2.4999999999999996,-1.4317834729194447
sto-3g,full,1.0999999999999999,0.7,-1.6481039485827633
sto-3g,one_electron_cross_deleted,1.0999999999999999,0.7,-0.3502033296414724
sto-3g,without_edge_01,1.0999999999999999,0.7,-1.578126628653047
sto-3g,full,1.0999999999999999,0.7999999999999999,-1.6759337772108838
sto-3g,one_electron_cross_deleted,1.0999999999999999,0.7999999999999999,-0.5653811685103185
sto-3g,without_edge_01,1.0999999999999999,0.7999999999999999,-1.61428504184821
sto-3g,full,1.0999999999999999,0.8999999999999999,-1.6756311890145503
sto-3g,one_electron_cross_deleted,1.0999999999999999,0.8999999999999999,-0.7197888979238267
sto-3g,without_edge_01,1.0999999999999999,0.8999999999999999,-1.6231006918684279
sto-3g,full,1.0999999999999999,0.9999999999999999,-1.6591744257999008
sto-3g,one_electron_cross_deleted,1.0999999999999999,0.9999999999999999,-0.8327819772624734
sto-3g,without_edge_01,1.0999999999999999,0.9999999999999999,-1.6167336132332282
sto-3g,full,1.0999999999999999,1.0999999999999999,-1.6336844459789877
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.0999999999999999,-0.9180413393857001
sto-3g,without_edge_01,1.0999999999999999,1.0999999999999999,-1.6023472247302308
sto-3g,full,1.0999999999999999,1.1999999999999997,-1.6659090468979598
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.1999999999999997,-0.9814223075338626
sto-3g,without_edge_01,1.0999999999999999,1.1999999999999997,-1.5843708715691958
sto-3g,full,1.0999999999999999,1.2999999999999998,-1.6867665876946067
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.2999999999999998,-1.0284779987862742
sto-3g,without_edge_01,1.0999999999999999,1.2999999999999998,-1.5655686902107493
sto-3g,full,1.0999999999999999,1.4,-1.6994802720210846
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.4,-1.0632357844976448
sto-3g,without_edge_01,1.0999999999999999,1.4,-1.5475431047740242
sto-3g,full,1.0999999999999999,1.4999999999999998,-1.7064046051461061
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.4999999999999998,-1.088732935562239
sto-3g,without_edge_01,1.0999999999999999,1.4999999999999998,-1.5310752794380451
sto-3g,full,1.0999999999999999,1.5999999999999996,-1.7092766997879956
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.5999999999999996,-1.1072931758916185
sto-3g,without_edge_01,1.0999999999999999,1.5999999999999996,-1.516428365180845
sto-3g,full,1.0999999999999999,1.6999999999999997,-1.7093790397180824
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.6999999999999997,-1.1206923650209322
sto-3g,without_edge_01,1.0999999999999999,1.6999999999999997,-1.5035936308124151
sto-3g,full,1.0999999999999999,1.7999999999999998,-1.7076546436518418
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.7999999999999998,-1.1302786646282237
sto-3g,without_edge_01,1.0999999999999999,1.7999999999999998,-1.4924509967160775
sto-3g,full,1.0999999999999999,1.8999999999999997,-1.7047916156366796
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.8999999999999997,-1.1370683718422434
sto-3g,without_edge_01,1.0999999999999999,1.8999999999999997,-1.482851572651994
sto-3g,full,1.0999999999999999,1.9999999999999996,-1.7012858961884116
sto-3g,one_electron_cross_deleted,1.0999999999999999,1.9999999999999996,-1.1418229749565
sto-3g,without_edge_01,1.0999999999999999,1.9999999999999996,-1.474649577806017
sto-3g,full,1.0999999999999999,2.0999999999999996,-1.6974883250518367
sto-3g,one_electron_cross_deleted,1.0999999999999999,2.0999999999999996,-1.1451098284727095
sto-3g,without_edge_01,1.0999999999999999,2.0999999999999996,-1.467709169782758
sto-3g,full,1.0999999999999999,2.1999999999999997,-1.6936405633309009
sto-3g,one_electron_cross_deleted,1.0999999999999999,2.1999999999999997,-1.1473490204595427
sto-3g,without_edge_01,1.0999999999999999,2.1999999999999997,-1.4619021183258218
sto-3g,full,1.0999999999999999,2.3,-1.6899030019299879
sto-3g,one_electron_cross_deleted,1.0999999999999999,2.3,-1.1488492496647194
sto-3g,without_edge_01,1.0999999999999999,2.3,-1.4571040348338782
sto-3g,full,1.0999999999999999,2.3999999999999995,-1.6863765979949945
sto-3g,one_electron_cross_deleted,1.0999999999999999,2.3999999999999995,-1.1498352736563868
sto-3g,without_edge_01,1.0999999999999999,2.3999999999999995,-1.453192099880102
sto-3g,full,1.0999999999999999,2.4999999999999996,-1.6831198078439986
sto-3g,one_electron_cross_deleted,1.0999999999999999,2.4999999999999996,-1.1504689598403937
sto-3g,without_edge_01,1.0999999999999999,2.4999999999999996,-1.4500449995870082
sto-3g,full,1.1999999999999997,0.7,-1.675971118828011
sto-3g,one_electron_cross_deleted,1.1999999999999997,0.7,-0.41525499302695
sto-3g,without_edge_01,1.1999999999999997,0.7,-1.6111255266525628
sto-3g,full,1.1999999999999997,0.7999999999999999,-1.7050775058006993
sto-3g,one_electron_cross_deleted,1.1999999999999997,0.7999999999999999,-0.6290352241557691
sto-3g,without_edge_01,1.1999999999999997,0.7999999999999999,-1.6463680704846002
sto-3g,full,1.1999999999999997,0.8999999999999999,-1.7059395402282513
sto-3g,one_electron_cross_deleted,1.1999999999999997,0.8999999999999999,-0.7825095215645028
sto-3g,without_edge_01,1.1999999999999997,0.8999999999999999,-1.654015628403271
sto-3g,full,1.1999999999999997,0.9999999999999999,-1.6905155520172626
sto-3g,one_electron_cross_deleted,1.1999999999999997,0.9999999999999999,-0.8966636246958442
