training_seed,architecture,task_competent,heldout_both_correct,component_norm,normal_cross_entropy,normal_both_correct,delete_cross_entropy_increase,random_delete_cross_entropy_increase_median,delete_selectivity,delete_empirical_percentile,delete_empirical_p,bilateral_response_minimum
1008,directional_relay,True,1.0,0.2616461827039579,3.4629740702313346e-07,1.0,0.15323656927865048,0.2609695044588607,-0.10773293518021021,0.0,1.0,0.982421875
1008,four_channel_crossbar,True,1.0,0.34269647689594607,1.5485864409398502e-06,1.0,2.1599873796193605,0.17560082629832496,1.9843865533210354,1.0,0.015384615384615385,0.930908203125
1009,independent,False,0.11376953125,0.0,1.0988484090160622,0.11376953125,0.0,0.0,0.0,0.0,1.0,0.0
1009,distributed,True,1.0,0.2849498050802325,6.409821888838641e-07,1.0,1.0129466404360867,0.24916148007375444,0.7637851603623322,1.0,0.015384615384615385,0.9990234375
1009,central_shared,True,1.0,0.4271256967354213,6.454714028086211e-07,1.0,3.980825011797464,0.5052568126203983,3.475568199177066,1.0,0.015384615384615385,0.9970703125
1009,directional_relay,True,1.0,0.242864849979846,5.255538374687026e-06,1.0,0.2616120039718126,0.0543425851790449,0.20726941879276772,1.0,0.015384615384615385,0.99853515625
1009,four_channel_crossbar,True,1.0,0.44459101440240956,2.8789519938324607e-06,1.0,2.722877606557487,0.23028954255863368,2.4925880639988534,1.0,0.015384615384615385,1.0
1010,independent,False,0.112548828125,0.0,1.0988549264424947,0.112548828125,0.0,0.0,0.0,0.0,1.0,0.0
1010,distributed,True,1.0,0.2383187378175764,2.8685497761797165e-06,1.0,0.6220040112487898,0.07580891346663504,0.5461950977821548,1.0,0.015384615384615385,0.998291015625
1010,central_shared,True,1.0,0.4746126566725657,1.3683768418974884e-06,1.0,3.333760828835313,0.43781850525811083,2.895942323577202,1.0,0.015384615384615385,0.999755859375
1010,directional_relay,True,1.0,0.34958272642391125,1.7599973006490615e-06,1.0,0.9246673121707277,0.2034212195003382,0.7212460926703895,1.0,0.015384615384615385,0.9990234375
1010,four_channel_crossbar,True,1.0,0.22179558348585773,3.887771142067036e-06,1.0,0.34786146934670475,0.15727873033243678,0.19058273901426798,1.0,0.015384615384615385,0.998046875
1011,independent,False,0.113037109375,0.0,1.1000422302726836,0.113037109375,0.0,0.0,0.0,0.0,1.0,0.0
1011,distributed,True,1.0,0.37724887783674566,1.9994253686149866e-06,1.0,0.35418908719086545,0.2779022912018959,0.07628679598896954,1.0,0.015384615384615385,1.0
1011,central_shared,True,1.0,0.4660840285529735,6.241352924128553e-07,1.0,2.08582177541476,0.4055699638235952,1.6802518115911649,1.0,0.015384615384615385,0.9970703125
1011,directional_relay,True,1.0,0.25120154816007506,4.540267614699915e-07,1.0,0.535016580377484,0.03562885232342144,0.49938772805406256,1.0,0.015384615384615385,0.993408203125
1011,four_channel_crossbar,True,1.0,0.3678846945827122,3.1813532886208507e-06,1.0,0.522313891999983,0.1810940054516257,0.34121988654835733,1.0,0.015384615384615385,0.999755859375
1012,independent,False,0.112548828125,0.0,1.0985984548549732,0.112548828125,0.0,0.0,0.0,0.0,1.0,0.0
1012,distributed,True,1.0,0.34032648811954463,2.1373848804488684e-06,1.0,0.5631855885868582,0.13738952458112444,0.4257960640057338,1.0,0.015384615384615385,0.999755859375
1012,central_shared,True,0.999755859375,0.17731672422373418,2.115881947627398e-06,1.0,0.0051762355990465515,0.010677748380468217,-0.005501512781421665,0.0,1.0,0.97265625
1012,directional_relay,True,1.0,0.3560583031148251,1.0054665460944793e-05,1.0,1.2490895474031747,0.1652393158276244,1.0838502315755503,1.0,0.015384615384615385,1.0
1012,four_channel_crossbar,True,1.0,0.33934224981844396,1.9956316865473056e-05,1.0,2.6076262376668757,0.35244612266432285,2.255180115002553,1.0,0.015384615384615385,0.982177734375
1013,independent,False,0.112060546875,0.0,1.0988384198251189,0.112060546875,0.0,0.0,0.0,0.0,1.0,0.0
1013,distributed,True,1.0,0.34154211391485445,2.2097747325056837e-05,1.0,1.2569174799041116,0.2265581749197619,1.0303593049843498,1.0,0.015384615384615385,1.0
1013,central_shared,True,1.0,0.3638131218041416,7.70540042398885e-06,1.0,0.6860613333712462,0.2535379192337668,0.4325234141374794,1.0,0.015384615384615385,0.999755859375
1013,directional_relay,True,1.0,0.3705342617139807,1.2225809188780776e-07,1.0,2.4070998145556324,0.20519460892448965,2.201905205631143,1.0,0.015384615384615385,0.91259765625
1013,four_channel_crossbar,True,1.0,0.3072460595937406,4.440906939738158e-05,1.0,0.10801139886993415,0.18386865276774877,-0.07585725389781463,0.0,1.0,1.0
1014,independent,False,0.104736328125,0.0,1.0988197880460413,0.104736328125,0.0,0.0,0.0,0.0,1.0,0.0
1014,distributed,True,1.0,0.4104105806540047,1.1314115096384162e-05,1.0,2.053432665824648,0.4805607873035329,1.5728718785211149,1.0,0.015384615384615385,1.0
1014,central_shared,True,1.0,0.32918967496515794,2.189337328276254e-06,1.0,0.28587125860033796,0.18907802681998917,0.09679323178034879,1.0,0.015384615384615385,0.998046875
1014,directional_relay,True,1.0,0.3100513585700389,1.0580470249946513e-06,1.0,0.6022508608880496,0.1409230180524077,0.4613278428356419,1.0,0.015384615384615385,0.999755859375
1014,four_channel_crossbar,True,1.0,0.2920268185828583,2.6380986910368254e-06,1.0,0.32910789742042845,0.13834132583452952,0.19076657158589894,1.0,0.015384615384615385,0.99951171875
1015,independent,False,0.113037109375,0.0,1.0986172622462174,0.113037109375,0.0,0.0,0.0,0.0,1.0,0.0
1015,distributed,True,0.999755859375,0.36815540419132214,7.170567143475775e-06,1.0,1.0995828875900664,0.25247056557534825,0.8471123220147181,1.0,0.015384615384615385,1.0
1015,central_shared,True,1.0,0.4360902078937502,6.824937672022741e-06,1.0,2.1537794822332814,0.42447849267085946,1.729300989562422,1.0,0.015384615384615385,1.0
1015,directional_relay,True,1.0,0.3224493536019649,3.4616002503556766e-06,1.0,0.2490012974125439,0.3118254623445322,-0.06282416493198828,0.0,1.0,0.973876953125
1015,four_channel_crossbar,True,1.0,0.4341869862000501,1.1024295764673074e-05,1.0,1.7974246330882528,0.5432604064129282,1.2541642266753246,1.0,0.015384615384615385,0.999755859375
1016,independent,False,0.1064453125,0.0,1.098635983680282,0.1064453125,0.0,0.0,0.0,0.0,1.0,0.0
