training_seed,architecture,transition,model_weight_hash,heldout_both_correct,task_competent,untrained_component_norm,component_norm,component_a_norm,component_b_norm,component_bilateral_support,next_component_norm,transported_norm,transport_fraction,transport_percentile,probability_response,probability_response_percentile,erase_cross_entropy_increase,exchange_cross_entropy_increase,bilateral_fraction,reconstruction_error
8002,four_channel_crossbar,5_to_6,6a7cc8460e323b85c397114dc29f560733b7e92394ccb5e0e3fc95ed14b1c0e9,1.0,True,8.875567058928145e-05,0.09523128882130233,0.11309412720909669,0.07075151307232813,1.0,0.14685201820625626,0.07142348828516656,0.48636368200844887,1.0,6.562896466140774e-06,0.21875,8.383551115712308e-06,4.434295216233528e-05,0.984130859375,2.498001805406602e-16
8002,four_channel_crossbar,6_to_7,6a7cc8460e323b85c397114dc29f560733b7e92394ccb5e0e3fc95ed14b1c0e9,1.0,True,8.875567058928145e-05,0.14685201820625626,0.1569497747572769,0.12687421211194402,1.0,0.17438207127801997,0.10831402575236261,0.6211305150727102,1.0,1.0874425443956177e-05,0.21875,1.4534623477927889e-05,0.00030691099754021805,0.97705078125,3.3306690738754696e-16
8002,dual_independent_relay,4_to_5,4b0be89743fb42dd31890d6289529cee8deeb8fea92ebb944bb7f8a0c461b4bf,1.0,True,5.396152265309462e-20,1.2146630773473893e-17,1.7177929976985177e-17,0.0,0.0,1.9943708993049254e-17,1.4582355266413593e-17,1.4582355266413593e-05,1.0,1.5394946627895536e-24,0.125,0.0,0.0,0.0,2.220446049250313e-16
8002,dual_independent_relay,5_to_6,4b0be89743fb42dd31890d6289529cee8deeb8fea92ebb944bb7f8a0c461b4bf,1.0,True,5.396152265309462e-20,1.9943708993049254e-17,2.820466374199252e-17,0.0,0.0,2.6554724617769048e-17,2.1818850494594273e-17,2.1818850494594273e-05,1.0,6.5796132350389025e-24,1.0,0.0,0.0,0.0,1.6653345369377348e-16
8002,dual_independent_relay,6_to_7,4b0be89743fb42dd31890d6289529cee8deeb8fea92ebb944bb7f8a0c461b4bf,1.0,True,5.396152265309462e-20,2.6554724617769048e-17,3.7554051699531696e-17,0.0,0.0,3.039276027354204e-17,2.2015408426819747e-17,2.2015408426819747e-05,1.0,5.281244951982824e-24,0.0,0.0,0.0,0.0,2.220446049250313e-16
8003,distributed,4_to_5,ab77edf665aee87578782dab3ab9f7ee6e2bfc163944a845032034275da8451b,1.0,True,0.00012000503289758118,0.08631389531185343,0.08789845807876598,0.08001360880545355,1.0,0.15113604667600056,0.06077972350992908,0.4021523974371662,0.0,1.7679869888797867e-06,0.0,3.361921601046617e-08,0.0002080579026559447,1.0,3.3306690738754696e-16
8003,distributed,5_to_6,ab77edf665aee87578782dab3ab9f7ee6e2bfc163944a845032034275da8451b,1.0,True,0.00012000503289758118,0.15113604667600056,0.15712655902595307,0.1349422886797065,1.0,0.2145428619734118,0.09741938243010669,0.4540788797819795,0.0,4.173101435575359e-06,0.0,1.9990973743975956e-06,6.521916866264819e-05,1.0,3.3306690738754696e-16
8003,distributed,6_to_7,ab77edf665aee87578782dab3ab9f7ee6e2bfc163944a845032034275da8451b,1.0,True,0.00012000503289758118,0.2145428619734118,0.22444188514054875,0.19725790364263696,1.0,0.23558430213098167,0.14721760093268918,0.6249041196761836,0.0,6.655491488745175e-06,0.0,6.000182314651957e-06,0.0005177366795276243,1.0,3.3306690738754696e-16
8003,central_shared,4_to_5,37bd41ba4782deea4bcab2bf1c8f5b640b20f17de10376d182649c708c616686,0.99951171875,True,0.0003131640078741998,0.0678375226450772,0.07871101389133195,0.050824617051577536,1.0,0.10717543221465778,0.046590215573228365,0.43470984544213936,0.0,1.2837558753235922e-06,0.0,-8.063469027856903e-07,4.507972633667509e-06,0.997802734375,3.885780586188048e-16
8003,central_shared,5_to_6,37bd41ba4782deea4bcab2bf1c8f5b640b20f17de10376d182649c708c616686,0.99951171875,True,0.0003131640078741998,0.10717543221465778,0.1310030129507736,0.07087357688457366,1.0,0.1344956281080742,0.06331839601260035,0.47078404631651477,0.0,1.3672700745504487e-06,0.0,-1.3398872282658107e-06,6.333851402941921e-06,0.9990234375,3.885780586188048e-16
8003,central_shared,6_to_7,37bd41ba4782deea4bcab2bf1c8f5b640b20f17de10376d182649c708c616686,0.99951171875,True,0.0003131640078741998,0.1344956281080742,0.1618638495549647,0.092676263213429,1.0,0.14992960304691683,0.08108457726152082,0.5408176611802765,0.0,1.6802585163238625e-06,0.0,-1.179765538993281e-06,1.7447397382638918e-05,1.0,3.3306690738754696e-16
8003,directional_relay,4_to_5,624c86213a07938c15179b3b63d331eeae71d27ad9af8d118174baf045cd8c7e,1.0,True,0.0001517563995645498,0.03878949985291477,0.03249857722950791,0.04012061402279418,1.0,0.06604049253722559,0.02918921972517025,0.4419897339305415,1.0,3.1334225105941518e-09,0.0,-3.6263938787916585e-10,1.3265614128458354e-09,0.656005859375,2.220446049250313e-16
