training_seed,architecture,heldout_both_correct,task_competent,transition,component_norm,next_component_norm,transported_component_norm,transport_fraction_of_next,transport_alignment_with_next,random_transport_median,transport_selectivity_over_random,transport_percentile,matched_own_history_transport,transport_selectivity_over_own_history,erase_cross_entropy_increase,random_action_loss_median,action_loss_selectivity_over_random,action_loss_percentile,matched_own_history_action_loss,action_loss_selectivity_over_own_history,erase_probability_response,random_probability_response_median,probability_response_selectivity_over_random,probability_response_percentile,exchange_cross_entropy_increase,erase_bilateral_fraction,exchange_bilateral_fraction,random_bilateral_median,reentry_state_reconstruction_error
3027,four_channel_crossbar,1.0,True,6_to_7,0.6419924777525595,0.7763460109631937,0.7088435555814987,0.9130510694607082,0.95297778667772,0.39736114771052294,0.31148240787097575,1.0,0.5058104933478957,0.20303306223360296,1.79333356960297,0.288354876913047,1.504978692689923,1.0,1.3376783492434872,0.4556552203594828,0.2565487223564491,0.04056421081585265,0.21598451154059645,1.0,6.879494667129131,1.0,0.999267578125,0.998046875,2.220446049250313e-16
3028,independent,0.120849609375,False,4_to_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3028,independent,0.120849609375,False,5_to_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3028,independent,0.120849609375,False,6_to_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3028,distributed,1.0,True,4_to_5,0.23756981606767685,0.37835309924884486,0.27462971404538883,0.7258555951850771,0.7108896576155126,0.21641384770114816,0.05821586634424067,1.0,0.28978851432807906,-0.015158800282690232,0.32081940479528837,0.0679875357000714,0.25283186909521693,1.0,0.7953853728100695,-0.4745659680147811,0.06075397187443962,0.012112998837199861,0.04864097303723976,1.0,1.3514619056465753,1.0,0.999755859375,1.0,1.6653345369377348e-16
3028,distributed,1.0,True,5_to_6,0.37835309924884486,0.5509735053662985,0.40831827199888604,0.7410851302685193,0.8127438662384799,0.3011348309219769,0.10718344107690914,1.0,0.4006341966002268,0.007684075398659229,0.5503631839347817,0.08547393542837811,0.46488924850640356,1.0,1.1676317072935822,-0.6172685233588006,0.08392703200378422,0.01647458908489874,0.06745244291888548,1.0,1.9592783892983532,1.0,0.999755859375,1.0,2.220446049250313e-16
3028,distributed,1.0,True,6_to_7,0.5509735053662985,0.7079698018997271,0.5874511429830667,0.8297686446607364,0.8576474876778777,0.3695161867424013,0.2179349562406654,1.0,0.49919338981624095,0.08825775316682571,1.3619545950543288,0.09616934757191865,1.26578524748241,1.0,1.2837516203424366,0.07820297471189219,0.1897972473729791,0.021049789471898235,0.16874745790108087,1.0,3.6873077436991433,1.0,0.999755859375,1.0,2.636779683484747e-16
3028,central_shared,1.0,True,4_to_5,0.18103898966568926,0.3525965671419342,0.19912012988765448,0.5647250950333293,0.6259614864168066,0.15884414402290936,0.04027598586474512,1.0,0.2182691357834407,-0.01914900589578622,0.12117068875961211,0.04322793933956097,0.07794274942005114,1.0,0.4252767361045304,-0.30410604734491825,0.03090512904998821,0.008306159258921234,0.02259896979106698,1.0,0.4528846581398381,1.0,0.996826171875,0.997314453125,2.220446049250313e-16
3028,central_shared,1.0,True,5_to_6,0.3525965671419342,0.5097827780809087,0.38629968447390817,0.7577731164794228,0.7197987939414281,0.27175174750523134,0.11454793696867682,1.0,0.3858242261080704,0.00047545836583778867,1.2226167951183047,0.26090764139401507,0.9617091537242897,1.0,0.9800337658335093,0.24258302928479536,0.16290878480333063,0.03453206642567399,0.12837671837765663,1.0,2.951310121470608,1.0,0.9990234375,0.9984130859375,2.220446049250313e-16
3028,central_shared,1.0,True,6_to_7,0.5097827780809087,0.629673690914265,0.5502490297542335,0.8738637768957609,0.7944319092072853,0.36746952897169666,0.18277950078253685,1.0,0.5071172856348753,0.04313174411935816,2.1055040626116437,0.3599369700708255,1.7455670925408182,1.0,1.0088897765752853,1.0966142860363584,0.21257243340876486,0.048955270782913604,0.16361716262585124,1.0,4.187072120546388,1.0,0.99951171875,0.9991455078125,2.220446049250313e-16
