pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,K_AB_history_distance,carrier_history_distance,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,self_erased_action_distance,self_erasure_carrier_preservation,carrier_reset_action_distance,native_archive_reset_action_distance,order_erased_action_distance,current_only_action_distance,direct_carrier_action_distance,no_feedback_A_distance,no_feedback_B_distance,unilateral_A_A_effect,unilateral_A_B_effect,unilateral_B_A_effect,unilateral_B_B_effect,completed_C_exchange_A_effect,completed_C_exchange_B_effect,selective_reset_A_effect,selective_reset_B_effect,phase_b_all_registered_controls,phase_b_o3,generic_class2,generic_o3
P2012,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19858457479767755,0.2199235431279335,0.21032720304383531,1.3551387335029207e-16,True,True,0.14223161127206793,0.14519932639429514,0.20248226302002165,0.2360254728450743,0.2263865887171124,2.4520512255530875e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17864818512001004,0.20064244309663673,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.200361498289831,0.0,0.0,0.22052711025297245,0.22568196114191247,0.24636898454823616,0.17211567867924085,0.2328488473608024,True,True,True,True
P2013,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2031092166571578,0.21894099192450092,0.2164984290861138,0.0,True,True,0.14223161127206793,0.14519932639429514,0.2027590454439821,0.23516052216445765,0.21346200705322194,1.3831263397910746e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.15680868118494878,0.20579339725318552,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19003635693021212,0.0,0.0,0.21903192437064511,0.22764999088238283,0.2426710534465325,0.20067274273600685,0.20484534815195737,True,True,True,True
P2014,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2018456873266044,0.21965067775012498,0.2080361817098435,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.200268751157687,0.23849784322485312,0.19009720175404796,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19736880733775938,0.21118132803469902,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19157608829082082,0.0,0.0,0.22044946178602287,0.22946522219064122,0.24753046425906505,0.20225699808446934,0.19828050423090465,True,True,True,True
P2015,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19571269750979248,0.2214502315762891,0.21171226452983238,0.0,True,True,0.14223161127206793,0.14519932639429514,0.192884463322896,0.22952727484219493,0.21383734143281283,1.4618818917269238e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19701509865970046,0.19990030404079834,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20607193692025833,0.0,0.0,0.23156236891939475,0.20979950542385933,0.24925504426053055,0.1898619565144295,0.19590697013136246,True,True,True,True
P2016,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1931692086573943,0.2144065795365614,0.18694492026595608,0.0,True,True,0.14223161127206793,0.14519932639429514,0.20743106736796357,0.23730878978080405,0.22124984640575812,2.713282456371173e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17843568804432858,0.19760344685574557,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2014805517874119,0.0,0.0,0.20931175109851613,0.23800029899503794,0.23661728056657014,0.20459038866709126,0.21027174606883586,True,True,True,True
P2017,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19197101357395507,0.23185243211612527,0.2102614474384294,0.0,True,True,0.14223161127206793,0.14519932639429514,0.1931704112498999,0.22362611326300183,0.2107696837218688,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19364266642686342,0.19089591371002623,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18371109595503166,0.0,0.0,0.22089677346261632,0.20381658072401482,0.24343564580198884,0.18374904995183944,0.20259177254796035,True,True,True,True
P2018,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19415317928428855,0.2116127616037637,0.2060037741837268,0.0,True,True,0.14223161127206793,0.14519932639429514,0.19478912272361248,0.23273395116200912,0.21318563814829206,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17622970322529405,0.20066023071660177,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19418017813993485,0.0,0.0,0.21611753545233497,0.23446432222455138,0.23100358009946684,0.17808439805397275,0.2114938473932522,True,True,True,True
P2019,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1901952124298431,0.21239480116185944,0.21234481716371265,0.0,True,True,0.14223161127206793,0.14519932639429514,0.20376586398768992,0.21611468514670074,0.21407297810994458,1.2391853651333678e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.1950491175533426,0.2071686165415504,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20546090322876145,0.0,0.0,0.22438442654813243,0.20824693476292935,0.22398243553047215,0.1922568382660159,0.21527488970936398,True,True,True,True
P2020,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1773484508084578,0.20566528183112986,0.21333044154840264,0.0,True,True,0.14223161127206793,0.14519932639429514,0.21626103519142234,0.22841594053057013,0.20309161336556592,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19637260437276838,0.2039417079701918,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1719528515240363,0.0,0.0,0.22972936092688345,0.2170255529841052,0.23980632807703503,0.213759857073511,0.21876221330933368,True,True,True,True
P2021,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18222386253924827,0.21274165403591538,0.19625168372072285,0.0,True,True,0.14223161127206793,0.14519932639429514,0.2034258075843378,0.2311430875757175,0.20653248958761353,2.687768464036712e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19196555756461392,0.20768714229962046,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20651300493130398,0.0,0.0,0.2172473561816738,0.2251445076315345,0.2371416675199005,0.20010776994803367,0.2067438452206419,True,True,True,True
